Run,Top-1,Top-50,Baseline
237,-43.86983796296349,-107.57501388888977,0.0
238,-43.38689814814867,-106.42061111111201,0.0
239,-42.903958333333854,-105.26620833333423,0.0
240,-42.421018518519034,-104.11180555555646,0.0
241,-41.938078703704214,-102.9574027777787,0.0
242,-41.4551388888894,-101.80300000000092,0.0
243,-40.97219907407458,-100.64859722222315,0.0
244,-40.48925925925976,-99.49419444444537,0.0
245,-40.00631944444495,-98.33979166666761,0.0
246,-39.52337962963013,-97.18538888888983,0.0
247,-39.04043981481531,-96.03098611111206,0.0
248,-38.557500000000495,-94.8765833333343,0.0
249,-38.074560185185675,-93.72218055555652,0.0
250,-37.591620370370855,-92.56777777777874,0.0
251,-37.10868055555604,-91.41337500000098,0.0
252,-36.62574074074122,-90.2589722222232,0.0
253,-36.14280092592641,-89.10456944444543,0.0
254,-35.659861111111596,-87.95016666666766,0.0
255,-35.17692129629678,-86.7957638888899,0.0
256,-34.69398148148197,-85.64136111111212,0.0
